"Category","AssetId","File","Line"
"AudioGeneral","101202336513383","src\client\SoundSystem\Main.lua","146"
"AudioGeneral","101202336513383","src\client\SoundSystem\Main.lua","147"
"AudioGeneral","101202336513383","src\client\SoundSystem\Main.lua","156"
"AudioGeneral","101202336513383","src\ReplicatedStorage\Assets\Audio\Jumpscare\Jumpscare_01.model.json","4"
"AudioGeneral","104336169985098","src\ReplicatedStorage\Assets\Audio\Footsteps\Woodstep_01.model.json","4"
"AudioGeneral","110779846516591","src\client\SoundSystem\Main.lua","135"
"AudioGeneral","111282528409948","src\client\SoundSystem\Main.lua","126"
"AudioGeneral","111282528409948","src\client\SoundSystem\Main.lua","127"
"AudioGeneral","111282528409948","src\ReplicatedStorage\Assets\Audio\Environment\EnvironmentalCreak_01.model.json","4"
"AudioGeneral","113854211240490","src\client\Controllers\Sensory\AudioController.luau","33"
"AudioGeneral","128180668604255","src\ReplicatedStorage\Assets\Audio\Footsteps\GrassStep_01.model.json","4"
"AudioGeneral","138329686293368","src\client\SoundSystem\Main.lua","148"
"AudioGeneral","138329686293368","src\client\SoundSystem\Main.lua","153"
"AudioGeneral","138884191945388","src\client\SoundSystem\Main.lua","151"
"AudioGeneral","138884191945388","src\client\SoundSystem\Main.lua","152"
"AudioGeneral","138884191945388","src\ReplicatedStorage\Assets\Audio\Sensory\Heartbeat.model.json","4"
"AudioGeneral","139204195403262","src\client\SoundSystem\Main.lua","133"
"AudioGeneral","139204195403262","src\client\SoundSystem\Main.lua","142"
"AudioGeneral","140513388846872","src\client\SoundSystem\Main.lua","125"
"AudioGeneral","140704980462451","src\client\SoundSystem\Main.lua","120"
"AudioGeneral","140704980462451","src\client\SoundSystem\Main.lua","121"
"AudioGeneral","140704980462451","src\client\SoundSystem\Main.lua","122"
"AudioGeneral","140704980462451","src\ReplicatedStorage\Assets\Audio\Ambient\AmbientLoop_Main.model.json","4"
"AudioGeneral","71098340187847","src\client\SoundSystem\Main.lua","129"
"AudioGeneral","71785355785721","src\ReplicatedStorage\Assets\Audio\Footsteps\SnowStep_01.model.json","4"
"AudioGeneral","78764817933410","src\client\SoundSystem\Main.lua","128"
"AudioGeneral","78764817933410","src\ServerScriptService\Server\MatchSystem\DoorRuntime.lua","31"
"AudioGeneral","78764817933410","src\ServerScriptService\Server\MatchSystem\MapRuntimePatches.lua","28"
"AudioGeneral","79900103772577","src\ReplicatedStorage\Assets\Audio\Footsteps\ConcreteStep_01.model.json","4"
"AudioGeneral","82526759214554","src\client\SoundSystem\Main.lua","132"
"AudioGeneral","83005562781593","src\ServerScriptService\Server\MatchSystem\DoorRuntime.lua","30"
"AudioGeneral","83005562781593","src\ServerScriptService\Server\MatchSystem\MapRuntimePatches.lua","27"
"AudioGeneral","86917747509286","src\client\SoundSystem\Main.lua","130"
"AudioGeneral","86917747509286","src\client\SoundSystem\Main.lua","143"
"AudioGeneral","86917747509286","src\ReplicatedStorage\Assets\Audio\Environment\ObjectThrow_01.model.json","4"
"AudioGeneral","87230026682789","src\client\SoundSystem\Main.lua","136"
"AudioGeneral","90448271562175","src\ReplicatedStorage\Assets\Audio\Footsteps\MetalStep_01.model.json","4"
"AudioGeneral","95027410279438","src\client\Controllers\Sensory\AudioController.luau","39"
"AudioGeneral","95974189526179","src\client\SoundSystem\Main.lua","134"
"AudioGeneral","95974189526179","src\client\SoundSystem\Main.lua","141"
"AudioGeneral","96038914699044","src\client\SoundSystem\Main.lua","131"
"AudioGeneral","96038914699044","src\ReplicatedStorage\Assets\Audio\Environment\LightFlicker_01.model.json","4"
"AudioGeneral","98105844059537","src\client\SoundSystem\Main.lua","139"
"AudioGeneral","98105844059537","src\client\SoundSystem\Main.lua","140"
"GhostAnimation","507766388","src\ReplicatedStorage\Assets\Animations\Ghosts\GhostIdle.model.json","13"
"GhostAnimation","507767714","src\ReplicatedStorage\Assets\Animations\Ghosts\GhostHunt.model.json","13"
"GhostAnimation","507771019","src\ReplicatedStorage\Assets\Animations\Ghosts\GhostManifest.model.json","10"
"GhostAnimation","507776043","src\ReplicatedStorage\Assets\Animations\Ghosts\GhostJumpscare.model.json","10"
